time,y
0,2.338578763
15,2.136623324
30,3.387961795
45,4.316674314
60,5.245689819
75,5.025484952
90,5.18064848
105,4.657923195
120,4.788734934
135,3.763823508
150,4.061049592
165,3.567334226
180,2.811149189
195,2.360145982
210,1.677770045
225,1.324609822
240,1.26654767
255,0.779825479
270,0.292891393
285,-0.132206537
300,0.312010156
315,0.133771755
330,0.965144655
345,0.697898743
360,1.899733484
375,2.887186765
390,3.37576111
405,3.818637509
420,4.377272922
435,4.98808202
450,5.241782734
465,5.179749831
480,5.508331635
495,4.871587476
510,4.170365662
525,3.353225977
540,3.834624516
555,2.552629239
570,1.560590537
585,1.304385555
600,0.731333612
615,0.440413812
630,0.047064572
645,0.256445586
660,0.280312464
675,-0.104979858
690,-0.57612459
705,0.837047314
720,1.761509928
735,2.703585435
750,3.226539558
765,3.942286213
780,3.997403292
795,4.919045377
810,5.149059194
825,5.072878156
840,5.302920741
855,4.758744326
870,4.321053895
885,3.817789889
900,3.291432679
915,2.869829
930,2.090573975
945,1.610342351
960,0.61541946
975,0.500768107
990,0.824242124
1005,-0.119029206
1020,0.267302566
1035,0.318601158
1050,0.602308646
1065,0.584591433
1080,1.514727582
1095,1.751991544
1110,3.089937566
1125,3.424844446
1140,4.098736021
1155,4.238950537
1170,4.990757184
1185,5.194559273
1200,4.856310179
1215,5.287441462
1230,4.588462636
1245,4.20007138
1260,3.973125108
1275,2.560162164
1290,2.392512701
1305,1.880239919
1320,1.094620048
1335,0.809524092
1350,0.142569917
1365,0.424142547
1380,-0.0081648
1395,0.430694842
1410,0.010411004
1425,0.612912177
1440,0.92606824
1455,1.95073014
